Species,t1_days,k_early_per_year,aromatic_frac_initial,lignin_frac_initial,non_arom_C0,non_arom_C1
A. mauritanicus,30.0,5.626828229345976,0.15315315315315314,0.23787728012043222,84.68468468468468,53.327691382765536
A. unedo,30.0,5.611655167871078,0.2042042042042042,0.2964643696510269,79.57957957957957,50.17543630892678
C. emerus,30.0,21.002090593636126,0.121,0.0950090000609794,87.9,15.642640922768303
C. sativa,30.0,7.728015579223807,0.13499999999999998,0.15104314512842018,86.5,45.83119859578736
F. drymeia,30.0,4.536683301903272,0.22277722277722273,0.33185026334438444,77.72227772227774,53.531156626506025
F. ornus,30.0,9.174876859084836,0.12400000000000001,0.16177228336466945,87.6,41.210024096385546
Fagus sylvatica,30.0,3.0587755673400205,0.18218218218218218,0.24334199599244247,81.78178178178179,63.6022146439318
H. helix,30.0,13.910843096009202,0.091,0.06718571980350242,90.9,28.97412048192771
M. sativa,30.0,11.754540584076276,0.09,0.02750138653307661,91.0,34.63043373493976
P. excelsa,30.0,2.7374408556032876,0.20400000000000001,0.31069066289127373,79.60000000000001,63.562200000000004
P. halepensis,30.0,5.174876099924818,0.14714714714714716,0.20086329676361708,85.28528528528528,55.7384186746988
P. nigra,30.0,4.334421385870481,0.1781781781781782,0.2576179530317408,82.18218218218219,57.551759277833504
Q. ilex,30.0,4.712662845241055,0.18318318318318322,0.2837256735970292,81.68168168168168,55.45032698094283
Q. pubescens,30.0,5.792128242638528,0.19539078156312625,0.2647607184002558,80.46092184368737,49.98416666666667
R. pseudoacacia,30.0,3.6447949979495595,0.15815815815815817,0.1636235301263697,84.18418418418419,62.391863590772324
S. alba,30.0,5.539500423811444,0.1881881881881882,0.25576281037754367,81.18118118118119,51.48971385542169
